x,y,Name
-86.21241684,39.15027559,BCSP Pond -1
-86.2117324,39.16346014,BCSP Pond - 2
-86.1943028,39.15214118,BCSP Pond - 3
-86.19266677,39.14443541,BCSP Pond - 4
-86.19009952,39.14836661,BCSP Pond - 5
-86.18848383,39.15109705,BCSP Pond - 6
-86.1856332,39.14394469,BCSP Pond - 7
-86.18732477,39.14160616,BCSP Pond - 8
-86.18843072,39.14180796,BCSP Pond - 9?
-86.19655334,39.14063653,BCSP Pond - 10
-86.20137628,39.13800618,BCSP Pond - 11
-86.20635861,39.15310872,BCSP Pond - 12
-86.20758175,39.1416549,BCSP Pond - 13
-86.21192561,39.14733489,BCSP Pond - 14?
-86.19693094,39.13311883,BCSP Pond - 15
-86.19946512,39.12743834,BCSP Pond - 16
-86.20012615,39.1200741,BCSP Pond - 17?
-86.20679247,39.12386557,BCSP Pond - 18
-86.20874039,39.12525476,BCSP Pond - 19?
-86.20990317,39.1277023,BCSP Pond - 20
-86.22769618,39.13356218,BCSP Pond - 21
-86.20818443,39.15029383,BCSP Pond - 22
-86.19138489,39.13892608,BCSP Pond - 23
-86.16642549,39.13486207,BCSP Pond - 24
-86.19076221,39.15998188,BCSP Pond - 25
-86.23634922,39.16942817,BCSP Pond - 25
-86.25072165,39.13750689,BCSP Pond - 26
-86.24820094,39.12747745,BCSP Pond - 27?
-86.23865976,39.12461132,BCSP Pond - 28
-86.23792421,39.11978634,BCSP Pond - 29
-86.24043691,39.11952732,BCSP Pond - 30?
-86.25877579,39.11498929,BCSP Pond - 31
-86.25372199,39.11989647,BCSP Pond - 32
-86.24808852,39.11080332,BCSP Pond - 33
-86.25296867,39.11071801,BCSP Pond - 34
-86.25201309,39.10669822,BCSP Pond - 35
-86.25696674,39.10672841,BCSP Pond - 36
-86.26836171,39.09991484,BCSP Pond - 37
-86.26516121,39.09898563,BCSP Pond - 38?
-86.27229022,39.10070033,BCSP Pond - 39
-86.27735811,39.09950477,BCSP Pond - 40
-86.27567026,39.09367681,BCSP Pond - 41
-86.29322636,39.09125192,BCSP Pond - 42
-86.30370376,39.1070458,BCSP Pond - 43?
-86.29806305,39.10982703,BCSP Pond - 44
-86.29330064,39.11371311,BCSP Pond - 45
-86.29020531,39.11844541,BCSP Pond - 46
-86.28442295,39.1168138,BCSP Pond - 47
-86.27569162,39.13276554,BCSP Pond - 48
-86.27589911,39.14015053,BCSP Pond - 49
-86.27500661,39.14489072,BCSP Pond - 50
-86.27048693,39.1421417,BCSP Pond - 51
-86.26206195,39.14122071,BCSP Pond - 52
-86.26208073,39.15092909,BCSP Pond - 53
-86.28158186,39.15650385,BCSP Pond - 54
-86.2631311,39.148016,BCSP Pond - 55?
-86.24215404,39.14162002,BCSP Pond - 56
-86.2276223,39.12752781,BCSP Pond - 60
-86.21480855,39.12185293,BCSP Pond - 61
-86.25864337,39.14788723,BCSP Pond - 62
-86.25812954,39.14755637,BCSP Pond - 63
-86.25791868,39.14759335,BCSP Pond - 64
-86.28616421,39.14212889,BCSP Pond - 65
-86.2973987,39.13796407,BCSP Pond - 66
-86.29676361,39.13772782,BCSP Pond - 67
-86.29117359,39.13614237,BCSP Pond - 68
-86.28319948,39.12982023,BCSP Pond - 69
-86.2861708,39.12745125,BCSP Pond - 70
-86.28869571,39.12325671,BCSP Pond - 71
-86.27672835,39.12302139,BCSP Pond - 72
-86.27104226,39.12073281,BCSP Pond - 73
-86.28668508,39.11077881,BCSP Pond - 74
-86.29025842,39.1037334,BCSP Pond - 75
-86.28488344,39.09797652,BCSP Pond - 76
-86.29797788,39.09942203,BCSP Pond - 77
-86.29556717,39.09598633,BCSP Pond - 78
-86.30015693,39.09207109,BCSP Pond - 79
-86.26483,39.06376842,BCSP Pond - 80
-86.26527466,39.06278321,BCSP Pond - 81
-86.26138493,39.06408063,BCSP Pond - 82
-86.25939819,39.06292075,BCSP Pond - 83
-86.25187521,39.0642107,BCSP Pond - 84
-86.26035352,39.05500649,BCSP Pond - 85
-86.25204102,39.04985288,BCSP Pond - 86
-86.24170798,39.05349672,BCSP Pond - 87
-86.23853969,39.05546904,BCSP Pond - 88
