Sample_ID,pond,N.totdens,N.livedens,N.deaddens,mean.RNADNA,sd.RNADNA,median.RNADNA,meanDNA,meanRNA
BC1,BCSP_001,155824907.4,27904194.61,62490039.04,1.429737939,2.517821157,1.203968508,0.924689506,1.105545503
BC2,BCSP_002,19806477.57,4724904.446,9412391.873,1.368217388,11.8229007,1.103789727,1.039595238,1.115903094
BC4,BCSP_004,15303404.64,1588430.25,11020889.83,1.215839842,0.829574685,1.023154831,1.124228738,1.123687927
BC5,BCSP_005,16065504.81,2941205.929,7551282.051,1.35833416,3.50781432,1.163899103,0.981223349,1.106784055
BC10,BCSP_010,40266439.45,8982658.38,17966319.17,1.385379728,2.013793331,1.179730933,0.965944717,1.103451805
BC15,BCSP_015,38103340.71,6554236.265,20117428.05,1.434416729,1.618947443,1.209699027,0.924737567,1.096723247
BC16,BCSP_016_2,35445993.38,7658409.387,15479189.65,1.31810884,2.541603152,1.125488139,1.006732447,1.111767635
BC18,BCSP_018,26541461.95,4515291.286,13743407.2,1.385190778,8.202020034,1.166120521,0.968316699,1.106690622
BC20,BCSP_020,60462946.2,14106284.57,24527199.6,1.391451155,7.352720329,1.205443855,0.923608527,1.098680798
BC48,BCSP_048,21116725.62,4588479.03,11683274.38,1.389004731,6.849479593,1.146106107,0.991901201,1.111562045
BC49,BCSP_049,48399538.11,14181343.51,18182448.04,1.381444377,1.919965822,1.156189232,0.984024655,1.100112536
BC51,BCSP_051,25553558.81,4543967.693,14251489.15,1.381934948,1.329059865,1.172774846,0.965376434,1.09915696
BC105,BCSP_105,28423779.88,4102932.316,16226049.41,1.421583557,4.059113455,1.177018278,0.950965446,1.098340531
BC108,BCSP_108,33762378.23,8685246.56,13718690.37,1.450598415,2.362254277,1.199929412,0.929258505,1.096541065
BC262,BCSP_262,24747641.98,6489865.543,11989564.52,1.340589362,1.930942184,1.12932069,1.028324719,1.113987907
BCL01,BCSP_L01,20620976.64,4418028.677,10281058.86,1.421625992,3.584510152,1.15962307,0.984489308,1.110946586
BCL03,BCSP_L03,46270613.11,7648746.602,23516661.63,1.32778646,5.672657292,1.106716613,1.01222569,1.099173369
HNF132,HNF_132,12918330.49,4870773.553,4765927.561,1.54469914,3.808809868,1.346796115,0.856471203,1.140862608
HNF133,HNF_133,60040533.76,24920136.45,13103140.36,1.326515545,12.79886446,1.162243851,0.984960889,1.102417313
HNF134,HNF_134,13914867.74,4660889.835,5797912.233,1.227894353,1.72869732,1.054093424,1.10791424,1.115266856
HNF144,HNF_144,73936380.91,23523457.04,25123236.97,1.212623579,14.47301261,1.067976651,1.074984285,1.113194597
HNF168,HNF_168,23003810.67,3135278.781,12064179.7,1.187347229,7.800251007,0.982158444,1.181890331,1.133660235
HNF187,HNF_187,18554525.3,6151380.77,8265773.03,1.360600905,0.822858504,1.18664415,0.951510597,1.105710136
HNF189,HNF_189,10863257.42,2670394.469,5644875.966,1.228479224,1.044815684,1.057786763,1.107401,1.119571293
HNF216,HNF_216,18929119.55,5136106.624,9081381.26,1.317817671,0.867332093,1.150205796,0.982249045,1.105311268
HNF217,HNF_217,31535130.8,11830510.17,8853663.426,1.388320508,2.366987366,1.209352882,0.949138652,1.112510963
HNF221,HNF_221,17841301.93,5028606.085,8499444.051,1.254073108,1.236457481,1.095580285,1.045131822,1.107329271
HNF224,HNF_224,20040184.85,7282298.573,6494173.197,1.288690337,1.36878142,1.119146883,1.039892359,1.12475134
