"sample","pond","N.totdens","N.livedens","N.deaddens","mean.RNADNA","sd.RNADNA","median.RNADNA","meanDNA","meanRNA"
"061815_BCSP_001.fcs","BCSP_001",155824907.398138,27904194.6140755,62490039.0429472,1.42973793909412,2.51782115678451,1.20396850777162,0.924689505723685,1.10554550314515
"061815_BCSP_002.fcs","BCSP_002",19806477.5699054,4724904.44578556,9412391.8728626,1.36821738790009,11.8229007012783,1.10378972720889,1.03959523796265,1.11590309394908
"061815_BCSP_004.fcs","BCSP_004",15303404.6399518,1588430.25007532,11020889.8262529,1.21583984215199,0.829574684760766,1.02315483120997,1.12422873752941,1.12368792694085
"061815_BCSP_010.fcs","BCSP_010",40266439.4546913,8982658.38011227,17966319.1659984,1.38537972780976,2.01379333090211,1.17973093313913,0.965944716517893,1.10345180459699
"061815_BCSP_015.fcs","BCSP_015",38103340.712417,6554236.26484202,20117428.0539344,1.43441672909359,1.61894744319882,1.2096990268105,0.924737566582039,1.0967232467539
"061815_BCSP_016_2.fcs","BCSP_016_2",35445993.3808043,7658409.38722295,15479189.649985,1.31810884009523,2.54160315196792,1.12548813911793,1.00673244666572,1.11176763469997
"061815_BCSP_018.fcs","BCSP_018",26541461.9472576,4515291.28647348,13743407.1994385,1.38519077827606,8.20202003432064,1.16612052092659,0.968316698633738,1.10669062169449
"061815_BCSP_020.fcs","BCSP_020",60462946.2041227,14106284.5651081,24527199.5977878,1.39145115530885,7.35272032928359,1.20544385455515,0.923608526648735,1.09868079778641
"061815_BCSP_048.fcs","BCSP_048",21116725.6189995,4588479.02981304,11683274.3810005,1.3890047312165,6.84947959262307,1.14610610705269,0.99190120115454,1.11156204542618
"061815_BCSP_049.fcs","BCSP_049",48399538.1062356,14181343.5083844,18182448.0369515,1.38144437664783,1.91996582179114,1.15618923242966,0.98402465465523,1.10011253559665
"061815_BCSP_051.fcs","BCSP_051",25553558.8086825,4543967.6930843,14251489.1468955,1.38193494844123,1.32905986493919,1.17277484586415,0.965376433748363,1.09915695954003
"061815_BCSP_105.fcs","BCSP_105",28423779.875477,4102932.31572605,16226049.4075115,1.4215835568029,4.05911345548528,1.17701827823939,0.950965445944485,1.09834053078416
"061815_BCSP_108.fcs","BCSP_108",33762378.2263734,8685246.5602089,13718690.3685849,1.45059841490629,2.36225427711685,1.19992941231909,0.929258505330223,1.09654106497861
"061815_BCSP_262.fcs","BCSP_262",24747641.9827413,6489865.54284567,11989564.5193658,1.34058936224091,1.93094218360541,1.1293206899384,1.02832471872692,1.11398790660566
"061815_BCSP_L01.fcs","BCSP_L01",20620976.6369197,4418028.67742906,10281058.8589191,1.42162599150308,3.58451015234975,1.15962307009695,0.984489307781379,1.11094658578188
"061815_BCSP_L03.fcs","BCSP_L03",46270613.1078224,7648746.60223497,23516661.6329407,1.32778645988113,5.67265729205707,1.10671661292013,1.01222569035227,1.09917336918406
"061815_HNF_237.fcs","HNF_237",9191105.76923077,2705328.52564103,4006710.73717949,1.22359825539136,1.55175474382784,1.02459357196012,1.11736542679615,1.11296909794354
"061815_YSF_004.fcs","YSF_004",56827215.1262195,4675651.21190787,27443930.4032988,1.21070796936422,31.8481428904687,1.18475137077816,0.944814210982473,1.09601075201624
"061815_YSF_044.fcs","YSF_044",34801083.9020474,4411280.61019671,16207346.44721,1.35954974218736,30.8173819555242,1.23748477368357,0.896780808037227,1.09317577723902
"061815_YSF_045.fcs","YSF_045",30307122.1075829,3352298.90814384,17573474.9073425,1.34356326771951,1.39841951304915,1.150374894238,1.00400884593122,1.10668134252101
"061815_YSF_046.fcs","YSF_046",38599859.775641,8607471.9551282,15379407.0512821,1.4129685169245,2.65563849485285,1.22320755051818,0.916961391775933,1.10766811821871
"061815_YSF_047.fcs","YSF_047",33211602.0438834,7577697.62548843,16312293.357379,1.28100912733689,1.36584175129963,1.09974194906023,1.04317617881423,1.10971561292644
"061815_YSF_070.fcs","YSF_070",16536516.8539326,3141853.93258427,8073434.99197432,1.13051594105899,34.3688526310758,1.07418576595043,1.05313542669516,1.09683018446528
"061815_YSF_071.fcs","YSF_071",45816216.2162162,11066966.966967,17607507.5075075,1.3988703394948,13.4817234426376,1.17461693756216,0.967867888561293,1.10766340630861
"061815_YSF_074.fcs","YSF_074",30535642.1647819,8211025.84814217,12123586.4297254,1.3966031849048,3.0519842699374,1.1913475278165,0.954145520337934,1.10825511917532
"061915_BCSP_005.fcs","BCSP_005",16065504.8076923,2941205.92948718,7551282.05128205,1.3583341603027,3.50781432039965,1.16389910251288,0.981223349461138,1.10678405489012
"061915_HNF_132.fcs","HNF_132",12918330.490619,4870773.55272399,4765927.56095114,1.54469914038991,3.80880986785058,1.3467961153313,0.856471202771706,1.14086260788032
"061915_HNF_133.fcs","HNF_133",60040533.7614127,24920136.4502859,13103140.3631986,1.3265155450983,12.7988644649936,1.16224385105799,0.984960889173647,1.10241731343774
"061915_HNF_134.fcs","HNF_134",13914867.7409547,4660889.83480288,5797912.23269484,1.22789435263654,1.72869731953307,1.05409342428502,1.10791423991114,1.1152668562671
"061915_HNF_144.fcs","HNF_144",73936380.9142743,23523457.0371111,25123236.9710913,1.21262357891373,14.4730126097422,1.0679766505187,1.07498428523218,1.11319459711085
"061915_HNF_168.fcs","HNF_168",23003810.6698757,3135278.78058564,12064179.7031689,1.18734722852132,7.80025100743862,0.982158443914325,1.18189033125419,1.13366023482415
"061915_HNF_187.fcs","HNF_187",18554525.2973191,6151380.77000605,8265773.02963112,1.36060090458929,0.822858503649765,1.18664414986134,0.951510597227567,1.10571013589884
"061915_HNF_189.fcs","HNF_189",10863257.4217161,2670394.46929646,5644875.96583977,1.22847922435944,1.04481568397665,1.05778676325347,1.10740099986659,1.1195712931768
"061915_HNF_216.fcs","HNF_216",18929119.5476575,5136106.62358643,9081381.26009693,1.3178176711157,0.86733209250467,1.15020579588512,0.982249044964568,1.10531126750389
"061915_HNF_217.fcs","HNF_217",31535130.8008419,11830510.1733988,8853663.42587952,1.3883205075253,2.36698736573889,1.20935288199994,0.949138652073336,1.11251096333388
"061915_HNF_221.fcs","HNF_221",17841301.930658,5028606.08511068,8499444.05134944,1.25407310805241,1.23645748062235,1.09558028522831,1.04513182178189,1.10732927135736
"061915_HNF_224.fcs","HNF_224",20040184.8503114,7282298.57343781,6494173.19670484,1.28869033689817,1.36878141954995,1.11914688303715,1.03989235890042,1.12475134031324
"061915_HNF_225.fcs","HNF_225",46229458.9178357,16679258.5170341,15894388.7775551,1.38756333753325,1.079479824755,1.21273828775845,0.925947097838309,1.11129350918746
"061915_HNF_229.fcs","HNF_229",24139730.9777153,3972093.95703674,15405440.6745633,1.2532505204021,0.761233291358965,1.09645409013231,1.06368450007524,1.13203508699031
"061915_HNF_236.fcs","HNF_236",8642842.80265007,1896205.58120859,4852238.50632403,1.59033152056777,1.65200903831803,1.37615513038657,0.856780384981595,1.16920534000995
"061915_HNF_250.fcs","HNF_250",27351835.1835184,6668666.86668667,10907690.7690769,1.36789503254676,15.1049722172165,1.22336210285513,0.920264411035488,1.08062897212402
"061915_HNF_267.fcs","HNF_267",76976452.9058116,22863627.254509,24506513.0260521,1.45450705534458,3.067366626646,1.24629207801434,0.892240274033959,1.09548383755133
"061915_HNF_269.fcs","HNF_269",16857960.248946,3748544.46898213,8150772.93716121,1.23541486541063,0.821615029591499,1.06828007179165,1.11753283997382,1.14268868126244
"061915_HNF_279.fcs","HNF_279",24486413.3159531,8943647.84919282,8523012.13275845,1.34022536142424,2.02903888695208,1.15019893017237,0.995220988875058,1.11520236072103
"061915_YSF_065.fcs","YSF_065",12896555.1772481,4074804.72661726,5513518.9264971,1.21343975263998,3.21993240009439,1.04211931041744,1.10337168318737,1.12430758546566
"061915_YSF_066.fcs","YSF_066",22101991.7926133,8892202.98268442,4912821.53938545,1.29915592726548,2.6469771499541,1.11144538631296,1.03784731087053,1.12224921193927
"061915_YSF_067.fcs","YSF_067",23550750.7507508,4737037.03703704,11910810.8108108,1.25113149317764,1.01315389312159,1.07686705781389,1.06335693749162,1.10884599082845
"061915_YSF_069.fcs","YSF_069",23697467.2139353,9540094.10351387,5638001.80198218,1.32213326146937,1.19550365600693,1.12383075737531,1.02233301316018,1.11658781883561
"061915_YSF_117.fcs","YSF_117",139132105.684548,29312650.1200961,48614291.4331465,1.48838374519615,10.299002755755,1.27765314999336,0.856641869395465,1.08089743450906
"061915_YSF_242.fcs","YSF_242",58651530.3060612,11360372.0744149,29371774.354871,1.54844439363778,1.67494460308979,1.33407925033499,0.836746076594605,1.105235130442
"061915_YSF_295.fcs","YSF_295",29673810.7160741,11389384.0761142,9460791.18678017,1.37662037993803,1.47779088849954,1.19391172041983,0.948287138339172,1.10548139187843
"061915_YSF_296.fcs","YSF_296",17549119.6478591,5768807.5230092,5105442.17687075,1.39136759968567,1.11922211050515,1.17829622467747,0.966620658635437,1.10153632804257
"061915_YSF_298.fcs","YSF_298",55726990.4857286,10948422.6339509,25897746.6199299,1.38446880503722,1.33528834436363,1.18676043810561,0.943758855308368,1.09397200249021
"061915_YSF_300.fcs","YSF_300",109747972.364073,19864223.4905377,47207870.2313007,1.31167583756449,19.0061401782707,1.18240269628855,0.946582034908932,1.10077328423701
