Sample_ID,Otu00000,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00006,Otu00007,Otu00008,Otu00009
BC001,22.0,0.0,55.0,11.0,9.0,9.0,37.0,56.0,129.0,46.0
BC002,11.0,0.0,21.0,22.0,9.0,9.0,20.0,11.0,11.0,9.0
BC003,9.0,9.0,9.0,9.0,21.0,0.0,18.0,12.0,19.0,2.0
BC004,17.0,11.0,25.0,2.0,71.0,24.0,18.0,19.0,23.0,27.0
BC005,38.0,9.0,22.0,19.0,22.0,28.0,11.0,17.0,11.0,27.0
BC015,8.0,32.0,25.0,24.0,108.0,24.0,11.0,9.0,21.0,27.0
BC016,11.0,9.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,18.0
BC018,143.0,32.0,970.0,11.0,8.0,74.0,55.0,44.0,39.0,109.0
BC020,18.0,38.0,17.0,9.0,284.0,16.0,15.0,16.0,8.0,17.0
BC048,11.0,24.0,20.0,11.0,18.0,11.0,20.0,0.0,21.0,13.0
BC049,11.0,429.0,29.0,18.0,11.0,13.0,11.0,32.0,9.0,372.0
BC051,42.0,15.0,41.0,7681.0,11.0,49.0,2.0,604.0,86.0,68.0
BC105,2.0,9.0,21.0,73.0,15.0,22.0,9.0,11.0,50.0,46.0
BC108,11.0,30.0,0.0,0.0,23.0,14.0,19.0,11.0,20.0,11.0
BC262,0.0,31.0,14.0,0.0,43.0,0.0,21.0,27.0,0.0,12.0
BCL01,30.0,38.0,17.0,18.0,122.0,16.0,19.0,26.0,9.0,9.0
BCL03,21.0,94.0,0.0,7.0,111.0,7.0,17.0,15.0,0.0,7.0
HNF132,11.0,2.0,22.0,35.0,11.0,46.0,41.0,88.0,53.0,13.0
HNF133,30.0,2.0,22.0,29.0,61.0,2.0,17.0,17.0,18.0,30.0
HNF134,9.0,18.0,12.0,119.0,26.0,32.0,159.0,64.0,45.0,81.0
HNF144,28.0,42.0,49.0,34.0,15.0,27.0,65.0,32.0,32.0,76.0
HNF168,0.0,89.0,108.0,21.0,24.0,29.0,40.0,36.0,15.0,477.0
HNF185,18.0,58.0,0.0,0.0,281.0,16.0,11.0,0.0,17.0,6.0
HNF187,37.0,26.0,79.0,0.0,0.0,0.0,211.0,59.0,0.0,0.0
HNF216,11.0,9.0,11.0,11.0,13.0,2.0,1069.0,18.0,2.0,11.0
HNF217,0.0,0.0,9.0,9.0,9.0,2.0,11.0,20.0,0.0,9.0
HNF224,11.0,9.0,11.0,11.0,30.0,11.0,11.0,11.0,11.0,11.0
HNF225,44.0,11.0,11.0,68.0,17.0,81.0,804.0,13379.0,11.0,11.0
HNF229,127.0,3.0,45.0,94.0,9.0,66.0,169.0,58.0,26.0,384.0
HNF242,9.0,505.0,9.0,17.0,0.0,11.0,19.0,18.0,11.0,29.0
HNF250,0.0,43.0,2.0,2.0,0.0,6.0,2.0,17.0,0.0,6.0
HNF267,0.0,2.0,53.0,41.0,17.0,38.0,135.0,2.0,16.0,34.0
HNF269,47.0,17.0,307.0,55.0,25.0,3227.0,11.0,481.0,147.0,43.0
YSF004,18.0,53.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0
YSF117,24.0,247.0,11.0,29.0,98.0,11.0,12.0,9.0,27.0,39.0
YSF295,102.0,17.0,42.0,83.0,18.0,29.0,2.0,9.0,53.0,66.0
YSF296,16.0,0.0,0.0,24.0,22.0,11.0,31.0,11.0,11.0,0.0
YSF298,6426.0,11.0,196.0,57.0,11.0,60.0,38.0,47.0,0.0,172.0
YSF300,48.0,42.0,65.0,39.0,13.0,42.0,34.0,33.0,33.0,2.0
YSF44,40.0,9.0,11.0,9.0,8.0,56.0,98.0,42.0,42.0,11.0
YSF45,45.0,40.0,70.0,11.0,16.0,42.0,32.0,27.0,27.0,197.0
YSF47,0.0,2.0,11.0,21.0,23.0,21.0,0.0,11.0,10.0,12.0
YSF65,23.0,17.0,2.0,11.0,11.0,20.0,23.0,11.0,20.0,19.0
YSF66,285.0,9.0,144.0,115.0,9.0,134.0,58.0,37.0,52.0,55.0
YSF69,36.0,277.0,17.0,11.0,67.0,17.0,9.0,28.0,11.0,36.0
YSF70,2.0,11.0,19.0,9.0,11.0,9.0,11.0,11.0,11.0,11.0
YSF71,67.0,9.0,2.0,20.0,20.0,32.0,19.0,3.0,0.0,9.0
YSF74,21.0,15.0,19.0,18.0,23.0,20.0,21.0,2.0,18.0,17.0
YSF46,34.0,0.0,0.0,0.0,0.0,9.0,9.0,11.0,0.0,0.0
